"Collected.From"|"Year"|"Player"|"Position"|"Body-fat"|"Hand.length.(in)"|"Hand.width.(in)"|"Height.w/o.shoes"|"Height.w/.shoes"|"Standing.reach"|"Weight.(LBS)"|"Wingspan"
"21"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-38"|"2019-2020"|"O'Shae Brissett"|"SF-PF"|"2.9000000000000001E-2"|"9"|"9.5"|"6' 7''"|"6' 8''"|"8' 8''"|"203.2"|"7' 0''"
"22"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-39"|"2019-2020"|"DaQuan Jeffries"|"SF-PF"|"3.9E-2"|"9.5"|"10.25"|"6' 4''"|"6' 5''"|"8' 8''"|"215.6"|"6' 11.25''"
"23"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-40"|"2019-2020"|"Reggie Perry"|"SF-PF"|"6.7000000000000004E-2"|"9"|"10"|"6' 8''"|"6' 9.25''"|"8' 10''"|"250.8"|"7' 0.5''"
"24"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-41"|"2019-2020"|"Marial Shayok"|"SF-PF"|"4.7E-2"|"8.75"|"9.25"|"6' 4.5''"|"6' 5.5''"|"8' 7.5''"|"196.8"|"7' 0.25''"
"25"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-42"|"2019-2020"|"Darius Bazley"|"PF"|"3.5999999999999997E-2"|"9"|"9.75"|"6' 7.75''"|"6' 9''"|"8' 11''"|"208.4"|"7' 0''"
"26"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-43"|"2019-2020"|"Tyler Cook"|"PF"|"6.0999999999999999E-2"|"9.5"|"10.75"|"6' 7.25''"|"6' 8.75''"|"8' 10.5''"|"245.4"|"7' 0.5''"
"27"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-44"|"2019-2020"|"Daniel Gafford"|"PF"|"5.8999999999999997E-2"|"9.25"|"9.25"|"6' 9.25''"|"6' 10.5''"|"9' 2''"|"237.6"|"7' 2.25''"
"28"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-45"|"2019-2020"|"Jaxson Hayes"|"PF"|"0.05"|"9.25"|"10.5"|"6' 10.25''"|"6' 11.5''"|"9' 2.5''"|"218.6"|"7' 3.5''"
"29"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-46"|"2019-2020"|"Jalen Hoard"|"PF"|"6.7000000000000004E-2"|"8.75"|"9.75"|"6' 7.25''"|"6' 9''"|"8' 9.5''"|"212.6"|"7' 0.75''"
"30"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-47"|"2019-2020"|"Mfiondu Kabengele"|"PF"|"5.0999999999999997E-2"|"9.25"|"10.75"|"6' 8.75''"|"6' 10.25''"|"9' 1.5''"|"256.2"|"7' 3''"
"31"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-48"|"2019-2020"|"Dedric Lawson"|"PF"|"8.8999999999999996E-2"|"9.75"|"9.75"|"6' 7''"|"6' 8.5''"|"8' 11.5''"|"233"|"7' 2.25''"
"32"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-49"|"2019-2020"|"Jordan Nwora"|"PF"|"7.8E-2"|"8.5"|"9.25"|"6' 5.75''"|"6' 7.5''"|"8' 7''"|"220"|"6' 10.5''"
"33"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-50"|"2019-2020"|"Jontay Porter"|"PF"|"8.5000000000000006E-2"|"8.75"|"9.5"|"6' 9.75''"|"6' 11''"|"9' 1.5''"|"210.4"|"7' 0''"
"34"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-51"|"2019-2020"|"Naz Reid"|"PF"|"0.14000000000000001"|"9.5"|"9.25"|"6' 8.75''"|"6' 9.5''"|"9' 1''"|"255.8"|"7' 3.25''"
"35"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-52"|"2019-2020"|"Isaiah Roby"|"PF"|"3.9E-2"|"9"|"10.5"|"6' 7.25''"|"6' 8.5''"|"8' 10''"|"214"|"7' 1''"
"36"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-53"|"2019-2020"|"Luka Samanic"|"PF"|"5.6000000000000001E-2"|"8.5"|"9"|"6' 9.5''"|"6' 11''"|"8' 11''"|"227.2"|"6' 10.5''"
"37"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-54"|"2019-2020"|"Simisola Shittu"|"PF"|"6.2E-2"|"8.75"|"8.5"|"6' 8.5''"|"6' 9.5''"|"8' 10''"|"227.2"|"7' 1.25''"
"38"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-55"|"2019-2020"|"P.J. Washington"|"PF"|"8.5999999999999993E-2"|"9"|"10.25"|"6' 6.5''"|"6' 8''"|"8' 10.5''"|"230.4"|"7' 2.25''"
"39"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-56"|"2019-2020"|"Grant Williams"|"PF"|"5.3999999999999999E-2"|"9"|"10.5"|"6' 5.75''"|"6' 7.5''"|"8' 8.5''"|"240.2"|"6' 9.75''"
"40"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-57"|"2019-2020"|"Charles Bassey"|"C"|"8.5000000000000006E-2"|"9.25"|"9.5"|"6' 8.75''"|"6' 10''"|"9' 1.5''"|"239"|"7' 3.5''"
"41"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-58"|"2019-2020"|"Bol Bol"|"C"|"7.0999999999999994E-2"|"9.25"|"9.5"|"7' 0.75''"|"7' 2.5''"|"9' 7.5''"|"208"|"7' 7''"
"42"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-59"|"2019-2020"|"Moses Brown"|"C"|"7.8E-2"|"9.5"|"10.25"|"7' 1.25''"|"7' 2.5''"|"9' 5''"|"237.2"|"7' 4.75''"
"43"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-60"|"2019-2020"|"Nicolas Claxton"|"C"|"4.4999999999999998E-2"|"9.25"|"9.5"|"6' 10''"|"6' 11.75''"|"9' 2''"|"216.6"|"7' 2.5''"
"44"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-61"|"2019-2020"|"Tacko Fall"|"C"|"6.8000000000000005E-2"|"10.5"|"10.5"|"7' 5.25''"|"7' 7''"|"10' 2.5''"|"288.8"|"8' 2.25''"
"45"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-62"|"2019-2020"|"Bruno Fernando"|"C"|"5.3999999999999999E-2"|"9.25"|"10"|"6' 8.75''"|"6' 10.25''"|"9' 2''"|"237"|"7' 3.25''"
